"Date","Discharge.m3s","Year"
2019-07-30,0.129407866978907,2019
2019-07-31,0.115532625224057,2019
2019-08-01,0.116665298020371,2019
2019-08-02,0.0931623374968498,2019
2019-08-03,0.0807029367373926,2019
2019-08-04,0.0795702639410784,2019
2019-08-05,0.0690930405751712,2019
2019-08-06,0.0588989854083427,2019
2019-08-07,0.0798534321401569,2019
2019-08-08,0.464395846488856,2019
2019-08-09,0.251453360781771,2019
2019-08-10,0.136487071955871,2019
2019-08-11,0.100524710672893,2019
2019-08-12,0.0818356095337069,2019
2019-08-13,0.088348478112514,2019
2019-08-14,0.308653336995642,2019
2019-08-15,0.14073459494205,2019
2019-08-16,0.0928791692977712,2019
2019-08-17,0.0775880865475284,2019
2019-08-18,0.173015769637007,2019
2019-08-19,0.244657324003885,2019
2019-08-20,0.241542473814021,2019
2019-08-21,0.138469249349421,2019
2019-08-22,0.129407866978907,2019
2019-08-23,0.105904906455385,2019
2019-08-24,0.0846672915244926,2019
2019-08-25,0.0761722455521355,2019
2019-08-26,0.0648455175889927,2019
2019-08-27,0.0563504716166356,2019
2019-08-28,0.119496980011157,2019
2019-08-29,1.86891011391857,2019
2019-08-30,0.512534440332213,2019
2019-08-31,0.404930524682356,2019
2019-09-01,0.339801838894285,2019
2019-09-02,0.278637507893314,2019
2019-09-03,0.288831563060142,2019
2019-09-04,0.223136540873914,2019
2019-09-05,0.171033592243457,2019
2019-09-06,0.1149662888259,2019
2019-09-07,0.0937286738950069,2019
2019-09-08,0.0829682823300212,2019
2019-09-09,0.0710752179687212,2019
2019-09-10,0.0645623493899141,2019
2019-09-11,0.0710752179687212,2019
2019-09-12,0.0747564045567427,2019
2019-09-13,0.0716415543668784,2019
2019-09-14,0.0637128447926784,2019
2019-09-15,0.062013835598207,2019
2019-09-16,0.056067303417557,2019
2019-09-17,0.054085126024007,2019
2019-09-18,0.0509702758341427,2019
2019-09-19,0.046156416449807,2019
2019-09-20,0.0444574072553356,2019
2019-09-21,0.0430415662599427,2019
2019-09-22,0.0427583980608642,2019
2019-09-23,0.0396435478709999,2019
2019-09-24,0.0373782022783713,2019
2019-09-25,0.0345465202875856,2019
2019-09-26,0.0336970156903499,2019
2019-09-27,0.0404930524682356,2019
2019-09-28,0.0385108750746856,2019
2019-09-29,0.036245529482057,2019
2019-09-30,0.0328475110931142,2019
2019-10-01,0.0370950340792928,2019
2019-10-02,0.048138593843357,2019
2019-10-03,0.0535187896258499,2019
2019-10-04,0.0546514624221641,2019
2019-10-05,0.0487049302415142,2019
2019-10-06,0.0444574072553356,2019
2019-10-07,0.0464395846488856,2019
2019-10-08,0.149795977312564,2019
2019-10-09,0.111568270436957,2019
2019-10-10,0.0807029367373926,2019
2019-10-11,0.0611643310009713,2019
2019-10-12,0.058049480811107,2019
2019-10-13,0.0526692850286141,2019
2019-10-14,0.0495544348387499,2019
2019-10-15,0.0478554256442784,2019
2019-10-16,0.0433247344590213,2019
2019-10-17,0.857999643208069,2019
2019-10-18,0.385108750746856,2019
2019-10-19,0.198784075753157,2019
2019-10-20,0.144982117928228,2019
2019-10-21,0.119496980011157,2019
2019-10-22,0.115249457024978,2019
2019-10-23,0.574831444129498,2019
2019-10-24,0.430415662599427,2019
2019-10-25,0.264479097939385,2019
2019-10-26,0.236162278031528,2019
2019-10-27,0.577663126120284,2019
2019-10-28,1.12700943233271,2019
2019-10-29,0.662613585843855,2019
2019-10-30,0.54085126024007,2019
2019-10-31,0.705088815705641,2019
2019-11-01,0.855167961217283,2019
2019-11-02,0.586158172092641,2019
2019-11-03,0.467227528479642,2019
2019-11-04,0.407762206673142,2019
2019-11-05,0.385108750746856,2019
2019-11-06,0.390772114728428,2019
2019-11-07,0.359623612829785,2019
2019-11-08,0.526692850286141,2019
2019-11-09,0.387940432737642,2019
2019-11-10,0.339801838894285,2019
2019-11-11,0.314316700977213,2019
2019-11-12,0.297326609032499,2019
2019-11-13,0.266461275332935,2019
2019-11-14,0.263912761541228,2019
2019-11-15,0.245223660402042,2019
2019-11-16,0.231348418647192,2019
2019-11-17,0.1863246749937,2019
2019-11-18,0.189439525183564,2019
2019-11-19,0.314316700977213,2019
2019-11-20,0.373782022783713,2019
2019-11-21,0.385108750746856,2019
2019-11-22,0.336970156903499,2019
2019-11-23,0.319980064958785,2019
2019-11-24,0.682435359779355,2019
2019-11-25,1.23461334798257,2019
2019-11-26,0.773049183484498,2019
2019-11-27,0.69942545172407,2019
2019-11-28,1.0505540185815,2019
2019-11-29,0.795702639410784,2019
2019-11-30,0.63996012991757,2019
2019-12-01,0.52102948630457,2019
2019-12-02,0.50120771236907,2019
2019-12-03,0.515366122322999,2019
2019-12-04,0.529524532276927,2019
2019-12-05,0.50120771236907,2019
2019-12-06,0.478554256442784,2019
2019-12-07,0.44174239056257,2019
2019-12-08,0.390772114728428,2019
2019-12-09,0.586158172092641,2019
2019-12-10,1.95102889165135,2019
2019-12-11,1.96801898359607,2019
2019-12-12,1.387524175485,2019
2019-12-13,0.931623374968497,2019
2019-12-14,6.25801719963641,2019
2019-12-15,5.23861168295356,2019
2019-12-16,2.46922669596514,2019
2019-12-17,1.71599928641614,2019
2019-12-18,1.46964295321778,2019
2019-12-19,1.08170252048014,2019
2019-12-20,0.94295010293164,2019
2019-12-21,0.812692731355498,2019
2019-12-22,0.770217501493712,2019
2019-12-23,0.730573953622712,2019
2019-12-24,0.730573953622712,2019
2019-12-25,0.668276949825427,2019
2019-12-26,0.611643310009713,2019
2019-12-27,0.583326490101856,2019
2019-12-28,0.588989854083427,2019
2019-12-29,0.571999762138713,2019
2019-12-30,0.557841352184784,2019
2019-12-31,0.625801719963641,2019
2020-01-01,0.645623493899141,2020
2020-01-02,0.60031658204657,2020
2020-01-03,0.563504716166356,2020
2020-01-04,0.642791811908355,2020
2020-01-05,0.920296647005355,2020
2020-01-06,0.818356095337069,2020
2020-01-07,0.671108631816212,2020
2020-01-08,0.60031658204657,2020
2020-01-09,0.504039394359856,2020
2020-01-10,0.492712666396713,2020
2020-01-11,0.665445267834641,2020
2020-01-12,2.11243476512614,2020
2020-01-13,1.92837543572507,2020
2020-01-14,1.31106876173378,2020
2020-01-15,1.09869261242485,2020
2020-01-16,1.02790056265521,2020
2020-01-17,0.767385819502927,2020
2020-01-18,0.63996012991757,2020
2020-01-19,0.637128447926784,2020
2020-01-20,0.625801719963641,2020
2020-01-21,0.566336398157141,2020
2020-01-22,0.52102948630457,2020
2020-01-23,0.498376030378284,2020
2020-01-24,0.487049302415142,2020
2020-01-25,0.605979946028141,2020
2020-01-26,3.31306792921928,2020
2020-01-27,1.93970216368821,2020
2020-01-28,1.5262765930335,2020
2020-01-29,1.17514802617607,2020
2020-01-30,0.928791692977712,2020
2020-01-31,0.758890773530569,2020
2020-02-01,0.707920497696427,2020
2020-02-02,0.688098723760927,2020
2020-02-03,0.645623493899141,2020
2020-02-04,0.628633401954427,2020
2020-02-05,0.608811628018927,2020
2020-02-06,0.583326490101856,2020
2020-02-07,0.682435359779355,2020
2020-02-08,0.705088815705641,2020
2020-02-09,0.62013835598207,2020
2020-02-10,0.622970037972855,2020
2020-02-11,0.707920497696427,2020
2020-02-12,0.65978190385307,2020
2020-02-13,0.67960367778857,2020
2020-02-14,0.617306673991284,2020
2020-02-15,0.58049480811107,2020
2020-02-16,0.478554256442784,2020
2020-02-17,0.467227528479642,2020
2020-02-18,0.447405754544142,2020
2020-02-19,0.654118539871498,2020
2020-02-20,0.563504716166356,2020
2020-02-21,0.472890892461213,2020
2020-02-22,0.42192061662707,2020
2020-02-23,0.427583980608642,2020
