Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm
ID_UP,6/21/2017,16:35,ID,UP,10,10,1024,0.848456007,20.29474146,19159,0.01992689,0.48236654
MR,6/21/2017,17:15,ID,UP_2,10,10,1983,1.643054943,39.30124249,15272.5,0.014434411,0.349411128
PD,6/21/2017,11:50,PD,OUT,10,10,4450,3.687137921,88.19492137,23683,0.026320296,0.637130539
PD_UP,6/21/2017,12:30,PD,UP_1,10,10,736,0.609827755,14.58684542,21155,0.022747677,0.550648799
SMD_DOWN,6/21/2017,15:30,SMD,DOWN,10,10,927,0.768084686,18.37229036,22768,0.0250272,0.605828802
SMD_OUT,6/21/2017,15:15,SMD,OUT,10,10,2706,2.242111284,53.63043983,24990,0.028167374,0.681842419
SMD_SIDE,6/21/2017,14:10,SMD,SIDE,10,10,4373,3.623338007,86.66885195,37953,0.046486942,1.125300801
SMD_UP,6/21/2017,13:20,SMD,UP,10,10,2202,1.824511843,43.64162177,24234,0.02709898,0.65598
WB,6/21/2017,12:15,PD,UP_2,10,10,2453,2.032482994,48.61621172,35518,0.043045752,1.04200055
CC,8/30/2017,9:35,CCBP,DOWN,10,10,1119,0.914101909,21.86496618,23700.5,0.023815935,0.575530804
CCBP_OUT,8/30/2017,8:45,CCBP,OUT,10,10,5417,4.425102805,105.8467576,22644,0.022318355,0.539340603
CCBP_SIDE,8/30/2017,8:55,CCBP,SIDE,10,10,6769,5.529540499,132.2644826,19435,0.017769624,0.429416935
CCBP_UP_1,8/30/2017,9:25,CCBP,UP_1,10,10,5702,4.657916964,111.4155828,18212,0.016036031,0.387523309
CCBP_UP_3,8/30/2017,9:15,CCBP,UP_3,10,100,9048,68.73359923,1644.081266,19581,0.017976578,0.434418137
ID,8/30/2017,15:25,ID,OUT,10,10,815,0.665766806,15.924886,32166,0.035815712,0.865514851
ID_UP,8/30/2017,15:05,ID,UP,10,10,1574,1.285787671,30.75554671,29918,0.03262919,0.78851005
MR,8/30/2017,15:35,ID,UP_2,10,10,2105,1.71955721,41.13114728,19497.5,0.017858217,0.43155786
PD,8/30/2017,10:00,PD,OUT,10,10,568,0.463994534,11.09857086,44700,0.053582554,1.29486457
PD_UP,8/30/2017,10:25,PD,UP_1,10,10,1914,1.563530878,37.39905743,64045,0.081003933,1.957523762
SMD_DOWN,8/30/2017,14:10,SMD,DOWN,10,10,345,0.281827666,6.741209412,24666,0.025184523,0.608603817
SMD_OUT,8/30/2017,14:00,SMD,OUT,10,10,1073,0.876524886,20.96613826,28505,0.030626275,0.740108012
SMD_SIDE,8/30/2017,13:10,SMD,SIDE,10,10,4836,3.950488677,94.49417019,24361.5,0.024752897,0.598173229
SMD_UP,8/30/2017,11:10,SMD,UP,10,10,2861,2.3371274,55.90318878,38275,0.04447517,1.074777451
WB,8/30/2017,10:10,PD,UP_2,10,10,1735,1.417307249,33.90144443,70328,0.089910035,2.172746698
CC,10/11/2017,9:25,CCBP,DOWN,10,10,1345,1.088378831,26.03360315,24327,0.024288057,0.58793651
CCBP_OUT,10/11/2017,8:20,CCBP,OUT,10,10,4109,3.325017557,79.53314151,20644,0.019234211,0.465598996
CCBP_SIDE,10/11/2017,8:35,CCBP,SIDE,10,100,2178,16.37923984,391.785119,18755,0.016642108,0.402852441
CCBP_UP_1,10/11/2017,9:10,CCBP,UP_1,10,100,3831,28.8103158,689.1316763,17924.5,0.015502489,0.375265879
CCBP_UP_2,10/11/2017,9:00,CCBP,UP_2,10,100,9287,69.84113882,1670.573187,17508,0.014930964,0.361431078
CCBP_UP_3,10/11/2017,8:50,CCBP,UP_3,10,100,26301,197.7917295,4731.102119,20424,0.018932325,0.458291298
ID,10/11/2017,14:20,ID,OUT,10,10,862,0.697533496,16.68473302,27399,0.028503484,0.689978553
ID_UP,10/11/2017,14:00,ID,UP,10,10,1568,1.268831231,30.34995519,28156,0.029542246,0.715123678
MR,10/11/2017,14:30,ID,UP_2,10,10,1687,1.365126459,32.6533,20961.5,0.019669888,0.476145334
PD,10/11/2017,9:50,PD,OUT,10,10,1088,0.880413508,21.05915258,31009,0.033457158,0.809891239
PD_UP,10/11/2017,10:15,PD,UP_1,10,10,1003,0.811631202,19.41390629,34521,0.038276356,0.926548679
SMD_DOWN,10/11/2017,13:05,SMD,DOWN,10,10,404,0.326918251,7.819758863,24136,0.024025965,0.581592099
SMD_OUT,10/11/2017,12:00,SMD,OUT,10,10,756,0.611757915,14.63301411,22648,0.021984118,0.532165485
SMD_SIDE,10/11/2017,11:45,SMD,SIDE,10,10,2473,2.001160482,47.86698928,18916,0.016863034,0.408200347
SMD_UP,10/11/2017,11:00,SMD,UP,10,100,1004,7.550393386,180.6025067,19700.5,0.017939532,0.434258935
WB,10/11/2017,10:00,PD,UP_2,10,10,2669,2.159764386,51.66073368,63201,0.077631312,1.87920681
CC,11/8/2017,9:05,CCBP,DOWN,10,10,807,0.668975043,16.00162582,24296.5,0.028986163,0.696905649
CCBP_OUT,11/8/2017,7:50,CCBP,OUT,10,10,2063,1.710155532,40.90626278,20029,0.022328045,0.536826511
CCBP_SIDE,11/8/2017,8:05,CCBP,SIDE,10,100,1037,8.007390829,191.5337098,16749,0.017210616,0.413789705
CCBP_UP_1,11/8/2017,8:50,CCBP,UP_1,10,10,963,0.798293639,19.09487691,19517,0.021529227,0.517620766
CCBP_UP_2,11/8/2017,8:40,CCBP,UP_2,10,100,521,4.022999636,96.22860444,18725,0.020293555,0.487911879
CCBP_UP_3,11/8/2017,8:25,CCBP,UP_3,10,1000,622,48.0289016,1148.832859,17709,0.0187084,0.449800478
ID,11/8/2017,14:05,ID,OUT,10,10,1027,0.851347422,20.36390299,22232,0.025765147,0.619463732
ID_UP,11/8/2017,13:45,ID,UP,10,10,602,0.499037145,11.93677663,22575,0.026300293,0.632330081
MR,11/8/2017,14:20,ID,UP_2,10,10,888,0.736121237,17.60773696,20953.5,0.023770442,0.571505635
PD,11/8/2017,9:30,PD,OUT,10,10,1669,1.383543182,33.09382093,23751,0.028135078,0.676443277
PD_UP,11/8/2017,10:00,PD,UP_1,10,10,461,0.38215303,9.140953534,24233,0.028887091,0.694523686
SMD_DOWN,11/8/2017,13:00,SMD,DOWN,10,10,609,0.504839903,12.07557636,24355,0.029077434,0.699100055
SMD_OUT,11/8/2017,12:25,SMD,OUT,10,10,1592,1.319712849,31.56702392,26637,0.032637791,0.784700662
SMD_SIDE,11/8/2017,11:45,SMD,SIDE,10,1000,508,39.22617687,938.2750683,58033,0.081621569,1.962402969
SMD_UP,11/8/2017,10:55,SMD,UP,10,10,1451,1.202828734,28.77120082,27916,0.034633277,0.832677514
WB,11/8/2017,9:45,PD,UP_2,10,10,1711,1.418359727,33.9266193,39220,0.052269683,1.256704361
CC,12/13/2017,9:10,CCBP,DOWN,10,10,682,0.576501432,13.78969259,29969.5,0.032774874,0.78934119
CCBP_OUT,12/13/2017,7:55,CCBP,OUT,10,10,2315,1.956892692,46.80812076,28001,0.030039438,0.723461696
CCBP_SIDE,12/13/2017,8:15,CCBP,SIDE,10,10,1872,1.582420354,37.85088642,43422,0.051468523,1.239553987
CCBP_UP_1,12/13/2017,8:50,CCBP,UP_1,10,10,550,0.46492051,11.12071983,29233,0.03175143,0.764692855
CCBP_UP_2,12/13/2017,8:40,CCBP,UP_2,10,100,566,4.45259092,106.5042628,23627,0.023961309,0.577077694
CCBP_UP_3,12/13/2017,8:30,CCBP,UP_3,10,100,1062,8.354508052,199.8366203,25736,0.026891985,0.647659281
