"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2015-11-24,66.9,"SMD",1.89439525183564,1894.39525183564,"20151124"
2015-11-25,60.6,"SMD",1.71599928641614,1715.99928641614,"20151125"
2015-11-26,54.8,"SMD",1.55176173095057,1551.76173095057,"20151126"
2015-11-27,51.7,"SMD",1.46397958923621,1463.97958923621,"20151127"
2015-11-28,51.7,"SMD",1.46397958923621,1463.97958923621,"20151128"
2015-11-29,52,"SMD",1.47247463520857,1472.47463520857,"20151129"
2015-11-30,52.6,"SMD",1.48946472715328,1489.46472715328,"20151130"
2015-12-01,52.6,"SMD",1.48946472715328,1489.46472715328,"20151201"
2015-12-02,53.8,"SMD",1.52344491104271,1523.44491104271,"20151202"
2015-12-03,56,"SMD",1.58574191484,1585.74191484,"20151203"
2015-12-04,50.2,"SMD",1.42150435937442,1421.50435937442,"20151204"
2015-12-05,43.9,"SMD",1.24310839395493,1243.10839395493,"20151205"
2015-12-06,35.1,"SMD",0.993920378765783,993.920378765783,"20151206"
2015-12-07,30.6,"SMD",0.866494689180426,866.494689180426,"20151207"
2015-12-08,27.1,"SMD",0.767385819502927,767.385819502927,"20151208"
2015-12-09,22.9,"SMD",0.648455175889927,648.455175889927,"20151209"
2015-12-10,20.7,"SMD",0.586158172092641,586.158172092641,"20151210"
2015-12-11,15.8,"SMD",0.447405754544142,447.405754544142,"20151211"
2015-12-12,15.2,"SMD",0.430415662599427,430.415662599427,"20151212"
2015-12-13,15,"SMD",0.424752298617856,424.752298617856,"20151213"
2015-12-14,15,"SMD",0.424752298617856,424.752298617856,"20151214"
2015-12-15,16.8,"SMD",0.475722574451999,475.722574451999,"20151215"
2015-12-16,19.3,"SMD",0.546514624221641,546.514624221641,"20151216"
2015-12-17,23.5,"SMD",0.665445267834641,665.445267834641,"20151217"
2015-12-18,30.6,"SMD",0.866494689180426,866.494689180426,"20151218"
2015-12-19,51.1,"SMD",1.4469894972915,1446.9894972915,"20151219"
2015-12-20,56,"SMD",1.58574191484,1585.74191484,"20151220"
2015-12-21,49.2,"SMD",1.39318753946657,1393.18753946657,"20151221"
2015-12-22,42.9,"SMD",1.21479157404707,1214.79157404707,"20151222"
2015-12-23,39.7,"SMD",1.12417775034193,1124.17775034193,"20151223"
2015-12-24,36.2,"SMD",1.02506888066443,1025.06888066443,"20151224"
2015-12-25,34.1,"SMD",0.965603558857926,965.603558857926,"20151225"
2015-12-26,73.4,"SMD",2.07845458123671,2078.45458123671,"20151226"
2015-12-27,80.7,"SMD",2.28516736656407,2285.16736656407,"20151227"
2015-12-28,83.7,"SMD",2.37011782628764,2370.11782628764,"20151228"
2015-12-29,77.6,"SMD",2.19738522484971,2197.38522484971,"20151229"
2015-12-30,86.4,"SMD",2.44657324003885,2446.57324003885,"20151230"
2015-12-31,80.4,"SMD",2.27667232059171,2276.67232059171,"20151231"
2016-01-01,78.4,"SMD",2.22003868077599,2220.03868077599,"20160101"
2016-01-02,70.6,"SMD",1.99916748549471,1999.16748549471,"20160102"
2016-01-03,59.3,"SMD",1.67918742053592,1679.18742053592,"20160103"
2016-01-04,48.4,"SMD",1.37053408354028,1370.53408354028,"20160104"
2016-01-05,45.7,"SMD",1.29407866978907,1294.07866978907,"20160105"
2016-01-06,32.5,"SMD",0.920296647005355,920.296647005355,"20160106"
2016-01-07,8.04,"SMD",0.227667232059171,227.667232059171,"20160107"
2016-01-08,6.94,"SMD",0.196518730160528,196.518730160528,"20160108"
2016-01-09,19.4,"SMD",0.549346306212427,549.346306212427,"20160109"
2016-01-10,53.5,"SMD",1.51494986507035,1514.94986507035,"20160110"
2016-01-11,148,"SMD",4.19088934636285,4190.88934636285,"20160111"
2016-01-12,100,"SMD",2.83168199078571,2831.68199078571,"20160112"
2016-01-13,104,"SMD",2.94494927041713,2944.94927041713,"20160113"
2016-01-14,87.1,"SMD",2.46639501397435,2466.39501397435,"20160114"
2016-01-15,72.4,"SMD",2.05013776132885,2050.13776132885,"20160115"
2016-01-16,75.4,"SMD",2.13508822105242,2135.08822105242,"20160116"
2016-01-17,88.2,"SMD",2.49754351587299,2497.54351587299,"20160117"
2016-01-18,77.2,"SMD",2.18605849688657,2186.05849688657,"20160118"
2016-01-19,83.3,"SMD",2.35879109832449,2358.79109832449,"20160119"
2016-01-20,77.8,"SMD",2.20304858883128,2203.04858883128,"20160120"
2016-01-21,49.6,"SMD",1.40451426742971,1404.51426742971,"20160121"
2016-01-22,37.1,"SMD",1.0505540185815,1050.5540185815,"20160122"
2016-01-23,34.3,"SMD",0.971266922839497,971.266922839497,"20160123"
2016-01-24,28.8,"SMD",0.815524413346284,815.524413346284,"20160124"
2016-01-25,23.2,"SMD",0.656950221862284,656.950221862284,"20160125"
2016-01-26,20,"SMD",0.566336398157141,566.336398157141,"20160126"
2016-01-27,24.7,"SMD",0.69942545172407,699.42545172407,"20160127"
2016-01-28,28.5,"SMD",0.807029367373926,807.029367373926,"20160128"
2016-01-29,27.2,"SMD",0.770217501493712,770.217501493712,"20160129"
2016-01-30,26.3,"SMD",0.744732363576641,744.732363576641,"20160130"
2016-01-31,25.7,"SMD",0.727742271631927,727.742271631927,"20160131"
2016-02-01,28.9,"SMD",0.818356095337069,818.356095337069,"20160201"
