Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_OUT,11/10/18,-0.104910216,-1.762990496,1.488568346,-9.389833315,-14.91408216,-4.319083999,1.541559803,0.855005511,2.347105403
SMD_OUT,11/11/18,0.241537765,-1.600536473,2.024259468,-6.346126615,-11.33318498,-1.31540882,1.500964784,0.853089909,2.256023577
SMD_OUT,11/12/18,-0.980100947,-2.835530621,0.896471679,-5.518640065,-10.07753533,-0.723998689,1.414901827,0.835095473,2.066170601
SMD_SIDE,6/6/18,4.507494947,0.842553794,8.034868066,0.810045894,-5.338959639,6.917063161,0.397865864,0.141752198,0.638348402
SMD_SIDE,6/7/18,5.022850249,1.644962303,8.78535334,-1.261289652,-7.630551601,5.056390343,0.452819053,0.166894818,0.706416398
SMD_SIDE,6/8/18,3.730326829,0.548044198,6.938549705,-0.260874125,-6.134276784,6.074251793,0.513011729,0.21137273,0.763530142
SMD_SIDE,6/9/18,1.066794485,-2.599080872,4.738834057,2.121072245,-3.873012589,7.890956161,0.556924666,0.250275244,0.810176804
SMD_SIDE,6/10/18,5.948583602,2.337115189,9.775410976,-2.618012378,-8.889621969,3.451285827,0.645742465,0.31998962,0.918498042
SMD_SIDE,6/11/18,8.840288816,4.904425035,12.85319026,-1.998986897,-8.106932811,4.202949077,0.750364626,0.396516286,1.066943007
SMD_SIDE,6/12/18,7.337713879,3.681168563,11.26988398,-0.705853333,-7.270484062,5.976317244,0.858752575,0.483194637,1.249069952
SMD_SIDE,6/13/18,7.839471982,4.780803749,10.59716801,-3.332001706,-9.052175499,3.746253652,0.968603623,0.587767589,1.452872867
SMD_SIDE,6/14/18,4.747655819,2.098671484,7.425924005,0.757088969,-5.053798799,6.823029242,1.01508109,0.64131101,1.497279092
SMD_SIDE,6/15/18,1.190737001,-2.434634293,4.830917507,2.512374986,-3.074039225,8.286208711,1.036996564,0.67576724,1.484196825
SMD_SIDE,6/16/18,-0.552296125,-4.062918992,3.11776926,3.109213805,-2.681808757,8.782059834,1.066853494,0.691278646,1.494157708
SMD_SIDE,6/17/18,11.29253459,7.580344905,15.02325612,-4.64014192,-10.49186378,1.404700259,1.125159549,0.740536867,1.531018379
SMD_SIDE,6/18/18,-1.108709437,-5.110800918,2.760508976,5.77858638,-0.496036931,12.03512604,1.095718082,0.715382394,1.507817115
SMD_SIDE,6/19/18,2.176771458,-1.858628813,6.059496841,-2.394515382,-8.015275758,4.395746976,0.804626406,0.454919517,1.170306031
SMD_SIDE,6/20/18,4.429822114,0.95035122,7.97138528,-2.894309247,-8.621718051,2.839573406,0.957001543,0.564526558,1.442970341
SMD_SIDE,6/21/18,5.385019889,1.593382252,9.062146951,-1.627110336,-7.632287315,4.608576953,1.036725869,0.668629758,1.493733901
SMD_SIDE,6/22/18,10.81179368,7.214010459,14.40908692,-4.825678736,-10.82704951,1.081423091,1.073304727,0.698278896,1.494205111
SMD_SIDE,6/23/18,6.827589892,2.897689041,10.37610074,-4.331052155,-10.39165167,2.273826046,1.174428771,0.743252096,1.670806005
