"","Date","Discharge.m3s","Site"
"357",2015-12-23,0.0237071648443697,"CCBP"
"358",2015-12-24,0.0469006452942547,"CCBP"
"359",2015-12-25,0.0294488328379052,"CCBP"
"360",2015-12-26,0.0241552068580188,"CCBP"
"361",2015-12-27,0.04737925035911,"CCBP"
"362",2015-12-28,0.0351033663525576,"CCBP"
"363",2015-12-29,0.0432654564106344,"CCBP"
"364",2015-12-30,0.0466496128601635,"CCBP"
"365",2015-12-31,0.0536950816263543,"CCBP"
"366",2016-01-01,0.0707638077536265,"CCBP"
"367",2016-01-02,0.0598264289617863,"CCBP"
"368",2016-01-03,0.0524837099137907,"CCBP"
"369",2016-01-04,0.0448228371127753,"CCBP"
"370",2016-01-05,0.0327863263192209,"CCBP"
"371",2016-01-06,0.0288078674534693,"CCBP"
"372",2016-01-07,0.0263448532128164,"CCBP"
"373",2016-01-08,0.0247575616358583,"CCBP"
"374",2016-01-09,0.0283374433301063,"CCBP"
"375",2016-01-10,0.139726073577532,"CCBP"
"376",2016-01-11,0.162195761920746,"CCBP"
"377",2016-01-12,0.0844379307720984,"CCBP"
"378",2016-01-13,0.0806760971427624,"CCBP"
"379",2016-01-14,0.0549277519706982,"CCBP"
"380",2016-01-15,0.0474486518682688,"CCBP"
"381",2016-01-16,0.103152345541953,"CCBP"
"382",2016-01-17,0.081670895576615,"CCBP"
"383",2016-01-18,0.0700949688224593,"CCBP"
"384",2016-01-19,0.0631596722673451,"CCBP"
"385",2016-01-20,0.0538052744145879,"CCBP"
"386",2016-01-21,0.0470184394541478,"CCBP"
"387",2016-01-22,0.0408023293636354,"CCBP"
"388",2016-01-23,0.035911467084038,"CCBP"
"389",2016-01-24,0.0391599494477625,"CCBP"
"390",2016-01-25,0.0388198302614127,"CCBP"
"391",2016-01-26,0.042144936229777,"CCBP"
"392",2016-01-27,0.0464249157011552,"CCBP"
"393",2016-01-28,0.0429870072402059,"CCBP"
"394",2016-01-29,0.0397556061151298,"CCBP"
"395",2016-01-30,0.0381456321588333,"CCBP"
"396",2016-01-31,0.0394959282709142,"CCBP"
"397",2016-02-01,0.0464664985696381,"CCBP"
"398",2016-02-02,0.0442162111714806,"CCBP"
"399",2016-02-03,0.0438643519942445,"CCBP"
"400",2016-02-04,0.0601178406286954,"CCBP"
"401",2016-02-05,0.0520887802051044,"CCBP"
"402",2016-02-06,0.0515254309172372,"CCBP"
"403",2016-02-07,0.0546031277799534,"CCBP"
"404",2016-02-08,0.0486486850588297,"CCBP"
